ITEM_CODE;CATEGORY_ID
8167265631;1
3598546286;10
3648902704;10
6739192435;10
6109018551;11
9583743654;11
1213502450;4
2278444409;4
3925220982;4
3598546286;2
3648902704;2
4414097220;2
5036514168;2
5457473840;2
6109018551;2
7972614826;2
8773872328;2
9583743654;2
8167265631;5
2164374516;6
6739192435;6
8429473406;6
1213502450;12
2164374516;12
3925220982;12
1213502450;3
2164374516;3
2278444409;3
3925220982;3
6405593333;3
6739192435;3
6926365355;3
7139257085;3
8429473406;3
1213502450;17
3598546286;17
3648902704;17
4414097220;17
5457473840;17
6109018551;17
7972614826;17
8167265631;17
8773872328;17
5036514168;13
5457473840;13
8773872328;13
8167265631;14
6405593333;7
6926365355;7
7139257085;7
1213502450;15
2278444409;15
6405593333;15
6926365355;15
7139257085;15
3648902704;8
5457473840;8
9583743654;8
3598546286;9
4414097220;9
5036514168;9
6109018551;9
7972614826;9
8773872328;9
4414097220;16
8429473406;16
2164374516;18
2278444409;18
3925220982;18
5036514168;18
6405593333;18
6739192435;18
6926365355;18
7139257085;18
8429473406;18
9583743654;18
